market_hash_name,base_name,wear,min_price,suggested_price,mean_price,quantity
M4A4 | Howl (Factory New),M4A4 | Howl,Factory New,6979.61,8513.21,8545.66,3
Souvenir AUG | Steel Sentinel (Well-Worn),Souvenir AUG | Steel Sentinel,Well-Worn,0.02,0.03,0.14,25
Souvenir AUG | Storm (Battle-Scarred),Souvenir AUG | Storm,Battle-Scarred,18.79,18.31,26.27,2
Souvenir AUG | Storm (Factory New),Souvenir AUG | Storm,Factory New,,2812.04,,0
Souvenir AUG | Storm (Field-Tested),Souvenir AUG | Storm,Field-Tested,88.0,16.62,207.1,4
Souvenir AUG | Storm (Minimal Wear),Souvenir AUG | Storm,Minimal Wear,103.4,31.91,103.4,1
Souvenir AUG | Storm (Well-Worn),Souvenir AUG | Storm,Well-Worn,50.0,17.96,50.0,1
Souvenir AUG | Sweeper (Battle-Scarred),Souvenir AUG | Sweeper,Battle-Scarred,0.02,0.03,1.35,27
Souvenir AUG | Sweeper (Factory New),Souvenir AUG | Sweeper,Factory New,0.1,0.11,4.08,89
Souvenir AUG | Sweeper (Field-Tested),Souvenir AUG | Sweeper,Field-Tested,0.02,0.03,0.75,243
Souvenir AUG | Sweeper (Minimal Wear),Souvenir AUG | Sweeper,Minimal Wear,0.03,0.04,1.12,160
Souvenir AUG | Sweeper (Well-Worn),Souvenir AUG | Sweeper,Well-Worn,0.09,0.1,2.5,19
Souvenir AWP | Acheron (Battle-Scarred),Souvenir AWP | Acheron,Battle-Scarred,8.18,6.8,10.12,4
Souvenir AWP | Acheron (Factory New),Souvenir AWP | Acheron,Factory New,38.99,38.0,51.14,7
Souvenir AWP | Acheron (Field-Tested),Souvenir AWP | Acheron,Field-Tested,6.55,6.3,17.6,18
Souvenir AWP | Acheron (Minimal Wear),Souvenir AWP | Acheron,Minimal Wear,10.0,11.55,31.5,22
Souvenir AWP | Acheron (Well-Worn),Souvenir AWP | Acheron,Well-Worn,9.82,12.81,37.21,2
Souvenir AWP | Black Nile (Battle-Scarred),Souvenir AWP | Black Nile,Battle-Scarred,7.86,8.41,25.92,21
Souvenir AWP | Black Nile (Factory New),Souvenir AWP | Black Nile,Factory New,33.68,39.33,127.91,9
Souvenir AWP | Black Nile (Field-Tested),Souvenir AWP | Black Nile,Field-Tested,10.5,7.88,15.74,28
Souvenir AWP | Black Nile (Minimal Wear),Souvenir AWP | Black Nile,Minimal Wear,11.96,12.9,16.68,40
Souvenir AWP | Black Nile (Well-Worn),Souvenir AWP | Black Nile,Well-Worn,,16.36,,0
Souvenir AWP | Desert Hydra (Battle-Scarred),Souvenir AWP | Desert Hydra,Battle-Scarred,2349.0,1389.11,2349.0,1
Souvenir AWP | Desert Hydra (Factory New),Souvenir AWP | Desert Hydra,Factory New,2585.04,3247.7,19628.8,6
Souvenir AWP | Desert Hydra (Field-Tested),Souvenir AWP | Desert Hydra,Field-Tested,1649.0,1788.11,1833.2,5
Souvenir AWP | Desert Hydra (Minimal Wear),Souvenir AWP | Desert Hydra,Minimal Wear,1890.0,2218.21,4313.3,6
Souvenir AWP | Desert Hydra (Well-Worn),Souvenir AWP | Desert Hydra,Well-Worn,,1549.95,,0
Souvenir AWP | Dragon Lore (Battle-Scarred),Souvenir AWP | Dragon Lore,Battle-Scarred,,37030.75,,0
Souvenir AWP | Dragon Lore (Field-Tested),Souvenir AWP | Dragon Lore,Field-Tested,,43696.29,,0
Souvenir AWP | Dragon Lore (Minimal Wear),Souvenir AWP | Dragon Lore,Minimal Wear,,222184.5,,0
Souvenir AWP | LongDog (Battle-Scarred),Souvenir AWP | LongDog,Battle-Scarred,,175.63,,0
Souvenir AWP | LongDog (Factory New),Souvenir AWP | LongDog,Factory New,,2287.55,,0
Souvenir AWP | LongDog (Field-Tested),Souvenir AWP | LongDog,Field-Tested,452.38,315.64,452.38,1
Souvenir AWP | LongDog (Minimal Wear),Souvenir AWP | LongDog,Minimal Wear,499.1,760.8,1185.49,5
Souvenir AWP | LongDog (Well-Worn),Souvenir AWP | LongDog,Well-Worn,,197.77,,0
Souvenir AWP | Pink DDPAT (Battle-Scarred),Souvenir AWP | Pink DDPAT,Battle-Scarred,45.0,20.62,45.0,1
Souvenir AWP | Pink DDPAT (Factory New),Souvenir AWP | Pink DDPAT,Factory New,666.0,424.53,666.0,1
Souvenir AWP | Pink DDPAT (Field-Tested),Souvenir AWP | Pink DDPAT,Field-Tested,19.38,20.17,38.95,13
Souvenir AWP | Pink DDPAT (Minimal Wear),Souvenir AWP | Pink DDPAT,Minimal Wear,55.92,54.08,89.04,5
Souvenir AWP | Pink DDPAT (Well-Worn),Souvenir AWP | Pink DDPAT,Well-Worn,,21.33,,0
Souvenir AWP | Pit Viper (Field-Tested),Souvenir AWP | Pit Viper,Field-Tested,1666.0,2015.5,1666.0,1
Souvenir AWP | Pit Viper (Minimal Wear),Souvenir AWP | Pit Viper,Minimal Wear,412.51,732.33,412.51,1
Souvenir AWP | Safari Mesh (Battle-Scarred),Souvenir AWP | Safari Mesh,Battle-Scarred,207.49,107.03,207.49,1
Souvenir AWP | Safari Mesh (Factory New),Souvenir AWP | Safari Mesh,Factory New,,8481.2,,0
Souvenir AWP | Safari Mesh (Field-Tested),Souvenir AWP | Safari Mesh,Field-Tested,,109.36,,0
Souvenir AWP | Safari Mesh (Minimal Wear),Souvenir AWP | Safari Mesh,Minimal Wear,476.95,413.93,476.95,1
Souvenir AWP | Safari Mesh (Well-Worn),Souvenir AWP | Safari Mesh,Well-Worn,,220.96,,0
Souvenir CZ75-Auto | Chalice (Factory New),Souvenir CZ75-Auto | Chalice,Factory New,105.69,112.16,649.94,6
Souvenir CZ75-Auto | Chalice (Minimal Wear),Souvenir CZ75-Auto | Chalice,Minimal Wear,499.18,68.81,499.18,1
Souvenir CZ75-Auto | Copper Fiber (Battle-Scarred),Souvenir CZ75-Auto | Copper Fiber,Battle-Scarred,0.04,0.05,0.05,3
Souvenir CZ75-Auto | Copper Fiber (Factory New),Souvenir CZ75-Auto | Copper Fiber,Factory New,0.06,0.08,1.21,9
Souvenir CZ75-Auto | Copper Fiber (Field-Tested),Souvenir CZ75-Auto | Copper Fiber,Field-Tested,0.02,0.03,0.02,49
Souvenir CZ75-Auto | Copper Fiber (Minimal Wear),Souvenir CZ75-Auto | Copper Fiber,Minimal Wear,0.02,0.03,0.02,11
Souvenir CZ75-Auto | Copper Fiber (Well-Worn),Souvenir CZ75-Auto | Copper Fiber,Well-Worn,0.1,0.03,0.1,3
Souvenir CZ75-Auto | Framework (Battle-Scarred),Souvenir CZ75-Auto | Framework,Battle-Scarred,0.02,0.03,0.28,117
Souvenir CZ75-Auto | Framework (Factory New),Souvenir CZ75-Auto | Framework,Factory New,0.19,0.25,1.68,76
Souvenir CZ75-Auto | Framework (Field-Tested),Souvenir CZ75-Auto | Framework,Field-Tested,0.02,0.03,0.51,318
Souvenir CZ75-Auto | Framework (Minimal Wear),Souvenir CZ75-Auto | Framework,Minimal Wear,0.03,0.04,1.52,157
Souvenir CZ75-Auto | Framework (Well-Worn),Souvenir CZ75-Auto | Framework,Well-Worn,0.09,0.12,0.16,7
Souvenir CZ75-Auto | Midnight Palm (Battle-Scarred),Souvenir CZ75-Auto | Midnight Palm,Battle-Scarred,0.03,0.03,0.57,71
Souvenir CZ75-Auto | Midnight Palm (Factory New),Souvenir CZ75-Auto | Midnight Palm,Factory New,0.02,0.03,0.78,422
Souvenir CZ75-Auto | Midnight Palm (Field-Tested),Souvenir CZ75-Auto | Midnight Palm,Field-Tested,0.02,0.03,0.23,663
Souvenir CZ75-Auto | Midnight Palm (Minimal Wear),Souvenir CZ75-Auto | Midnight Palm,Minimal Wear,0.02,0.03,0.35,380
Souvenir CZ75-Auto | Midnight Palm (Well-Worn),Souvenir CZ75-Auto | Midnight Palm,Well-Worn,0.02,0.03,1.17,62
Souvenir CZ75-Auto | Nitro (Battle-Scarred),Souvenir CZ75-Auto | Nitro,Battle-Scarred,0.27,0.35,2.08,6
Souvenir CZ75-Auto | Nitro (Factory New),Souvenir CZ75-Auto | Nitro,Factory New,20.23,14.13,26.42,3
Souvenir CZ75-Auto | Nitro (Field-Tested),Souvenir CZ75-Auto | Nitro,Field-Tested,0.35,0.37,12.96,22
Souvenir CZ75-Auto | Nitro (Minimal Wear),Souvenir CZ75-Auto | Nitro,Minimal Wear,1.78,1.04,4.13,11
Souvenir CZ75-Auto | Nitro (Well-Worn),Souvenir CZ75-Auto | Nitro,Well-Worn,5.17,0.48,5.2,2
Souvenir CZ75-Auto | Silver (Factory New),Souvenir CZ75-Auto | Silver,Factory New,0.08,0.1,1.93,222
Souvenir CZ75-Auto | Silver (Minimal Wear),Souvenir CZ75-Auto | Silver,Minimal Wear,1.72,0.34,5.22,9
Souvenir Desert Eagle | Fennec Fox (Battle-Scarred),Souvenir Desert Eagle | Fennec Fox,Battle-Scarred,114.33,146.96,131.55,4
Souvenir Desert Eagle | Fennec Fox (Factory New),Souvenir Desert Eagle | Fennec Fox,Factory New,499.52,447.1,529.76,2
Souvenir Desert Eagle | Fennec Fox (Field-Tested),Souvenir Desert Eagle | Fennec Fox,Field-Tested,160.0,188.86,199.84,21
Souvenir Desert Eagle | Fennec Fox (Minimal Wear),Souvenir Desert Eagle | Fennec Fox,Minimal Wear,238.96,271.57,284.34,5
Souvenir Desert Eagle | Fennec Fox (Well-Worn),Souvenir Desert Eagle | Fennec Fox,Well-Worn,,176.62,,0
Souvenir Desert Eagle | Hand Cannon (Battle-Scarred),Souvenir Desert Eagle | Hand Cannon,Battle-Scarred,209.29,185.95,272.76,3
Souvenir Desert Eagle | Hand Cannon (Factory New),Souvenir Desert Eagle | Hand Cannon,Factory New,,689.88,,0
Souvenir Desert Eagle | Hand Cannon (Field-Tested),Souvenir Desert Eagle | Hand Cannon,Field-Tested,220.0,210.97,628.08,3
Souvenir Desert Eagle | Hand Cannon (Minimal Wear),Souvenir Desert Eagle | Hand Cannon,Minimal Wear,375.0,262.54,437.5,2
Souvenir Desert Eagle | Hand Cannon (Well-Worn),Souvenir Desert Eagle | Hand Cannon,Well-Worn,,419.24,,0
Souvenir Desert Eagle | Mudder (Battle-Scarred),Souvenir Desert Eagle | Mudder,Battle-Scarred,351.51,80.91,351.51,1
Souvenir Desert Eagle | Mudder (Factory New),Souvenir Desert Eagle | Mudder,Factory New,,3503.04,,0
Souvenir Desert Eagle | Mudder (Field-Tested),Souvenir Desert Eagle | Mudder,Field-Tested,94.99,83.4,232.5,2
Souvenir Desert Eagle | Mudder (Minimal Wear),Souvenir Desert Eagle | Mudder,Minimal Wear,,386.05,,0
Souvenir Desert Eagle | Mudder (Well-Worn),Souvenir Desert Eagle | Mudder,Well-Worn,,35.77,,0
Souvenir Desert Eagle | Urban DDPAT (Battle-Scarred),Souvenir Desert Eagle | Urban DDPAT,Battle-Scarred,0.79,0.53,16.48,27
Souvenir Desert Eagle | Urban DDPAT (Factory New),Souvenir Desert Eagle | Urban DDPAT,Factory New,17.23,14.59,27.61,6
Souvenir Desert Eagle | Urban DDPAT (Field-Tested),Souvenir Desert Eagle | Urban DDPAT,Field-Tested,0.48,0.58,10.96,105
Souvenir Desert Eagle | Urban DDPAT (Minimal Wear),Souvenir Desert Eagle | Urban DDPAT,Minimal Wear,1.89,2.33,13.86,52
Souvenir Desert Eagle | Urban DDPAT (Well-Worn),Souvenir Desert Eagle | Urban DDPAT,Well-Worn,0.73,0.92,17.24,32
Souvenir Desert Eagle | Urban Rubble (Battle-Scarred),Souvenir Desert Eagle | Urban Rubble,Battle-Scarred,,11.75,,0
Souvenir Desert Eagle | Urban Rubble (Factory New),Souvenir Desert Eagle | Urban Rubble,Factory New,18.5,14.88,44.03,12
Souvenir Desert Eagle | Urban Rubble (Field-Tested),Souvenir Desert Eagle | Urban Rubble,Field-Tested,10.39,9.45,15.44,16
Souvenir Desert Eagle | Urban Rubble (Minimal Wear),Souvenir Desert Eagle | Urban Rubble,Minimal Wear,11.5,9.09,17.09,14
Souvenir Desert Eagle | Urban Rubble (Well-Worn),Souvenir Desert Eagle | Urban Rubble,Well-Worn,,8.32,,0
Souvenir Dual Berettas | Anodized Navy (Factory New),Souvenir Dual Berettas | Anodized Navy,Factory New,12.93,11.91,29.33,17
Souvenir Dual Berettas | Anodized Navy (Minimal Wear),Souvenir Dual Berettas | Anodized Navy,Minimal Wear,26.52,20.11,72.62,4
Souvenir Dual Berettas | Briar (Factory New),Souvenir Dual Berettas | Briar,Factory New,2.31,1.76,49.8,79
Souvenir Dual Berettas | Briar (Field-Tested),Souvenir Dual Berettas | Briar,Field-Tested,1.97,0.93,3.49,10
Souvenir Dual Berettas | Briar (Minimal Wear),Souvenir Dual Berettas | Briar,Minimal Wear,1.15,1.21,10.54,57
Souvenir Dual Berettas | Cobalt Quartz (Factory New),Souvenir Dual Berettas | Cobalt Quartz,Factory New,,1407.16,,0
Souvenir Dual Berettas | Cobalt Quartz (Field-Tested),Souvenir Dual Berettas | Cobalt Quartz,Field-Tested,,1481.23,,0
Souvenir Dual Berettas | Cobalt Quartz (Minimal Wear),Souvenir Dual Berettas | Cobalt Quartz,Minimal Wear,,1475.28,,0
Souvenir Dual Berettas | Colony (Battle-Scarred),Souvenir Dual Berettas | Colony,Battle-Scarred,0.49,0.25,2.66,7
