market_hash_name,base_name,wear,min_price,suggested_price,mean_price,quantity
MAC-10 | Pipsqueak (Minimal Wear),MAC-10 | Pipsqueak,Minimal Wear,1.18,1.29,2.2,119
MAC-10 | Pipsqueak (Well-Worn),MAC-10 | Pipsqueak,Well-Worn,0.4,0.54,1.32,37
MAC-10 | Poplar Thicket (Battle-Scarred),MAC-10 | Poplar Thicket,Battle-Scarred,0.73,0.73,0.73,1
MAC-10 | Poplar Thicket (Factory New),MAC-10 | Poplar Thicket,Factory New,5.95,3.3,13.31,7
MAC-10 | Poplar Thicket (Field-Tested),MAC-10 | Poplar Thicket,Field-Tested,1.85,1.21,1.97,3
MAC-10 | Poplar Thicket (Minimal Wear),MAC-10 | Poplar Thicket,Minimal Wear,2.53,2.41,3.77,2
MAC-10 | Poplar Thicket (Well-Worn),MAC-10 | Poplar Thicket,Well-Worn,0.71,0.79,0.71,1
MAC-10 | Propaganda (Battle-Scarred),MAC-10 | Propaganda,Battle-Scarred,29.85,33.42,40.19,5
MAC-10 | Propaganda (Factory New),MAC-10 | Propaganda,Factory New,55.0,67.76,66.79,11
MAC-10 | Propaganda (Field-Tested),MAC-10 | Propaganda,Field-Tested,35.6,43.16,47.17,17
MAC-10 | Propaganda (Minimal Wear),MAC-10 | Propaganda,Minimal Wear,40.79,50.78,57.89,15
MAC-10 | Propaganda (Well-Worn),MAC-10 | Propaganda,Well-Worn,45.24,35.93,45.24,1
MAC-10 | Rangeen (Battle-Scarred),MAC-10 | Rangeen,Battle-Scarred,0.27,0.18,0.78,9
MAC-10 | Rangeen (Factory New),MAC-10 | Rangeen,Factory New,0.68,0.72,2.78,47
MAC-10 | Rangeen (Field-Tested),MAC-10 | Rangeen,Field-Tested,0.15,0.21,0.68,62
MAC-10 | Rangeen (Minimal Wear),MAC-10 | Rangeen,Minimal Wear,0.41,0.45,1.15,47
MAC-10 | Rangeen (Well-Worn),MAC-10 | Rangeen,Well-Worn,0.33,0.26,0.34,9
MAC-10 | Red Filigree (Battle-Scarred),MAC-10 | Red Filigree,Battle-Scarred,,131.64,,0
MAC-10 | Red Filigree (Factory New),MAC-10 | Red Filigree,Factory New,104.0,112.2,124.35,10
MAC-10 | Red Filigree (Field-Tested),MAC-10 | Red Filigree,Field-Tested,,82.97,,0
MAC-10 | Red Filigree (Minimal Wear),MAC-10 | Red Filigree,Minimal Wear,83.03,93.77,93.01,2
MAC-10 | Red Filigree (Well-Worn),MAC-10 | Red Filigree,Well-Worn,,59.48,,0
MAC-10 | Saibā Oni (Battle-Scarred),MAC-10 | Saibā Oni,Battle-Scarred,0.56,0.61,0.98,14
MAC-10 | Saibā Oni (Factory New),MAC-10 | Saibā Oni,Factory New,2.97,3.97,6.33,149
MAC-10 | Saibā Oni (Field-Tested),MAC-10 | Saibā Oni,Field-Tested,0.68,0.87,1.12,136
MAC-10 | Saibā Oni (Minimal Wear),MAC-10 | Saibā Oni,Minimal Wear,1.5,1.85,4.12,81
MAC-10 | Saibā Oni (Well-Worn),MAC-10 | Saibā Oni,Well-Worn,0.74,1.02,1.42,13
MAC-10 | Sakkaku (Battle-Scarred),MAC-10 | Sakkaku,Battle-Scarred,0.16,0.23,0.59,236
MAC-10 | Sakkaku (Field-Tested),MAC-10 | Sakkaku,Field-Tested,0.42,0.59,2.69,593
MAC-10 | Sakkaku (Well-Worn),MAC-10 | Sakkaku,Well-Worn,0.17,0.24,0.63,226
MAC-10 | Sienna Damask (Battle-Scarred),MAC-10 | Sienna Damask,Battle-Scarred,0.43,0.44,1.34,4
MAC-10 | Sienna Damask (Factory New),MAC-10 | Sienna Damask,Factory New,0.54,0.57,1.76,67
MAC-10 | Sienna Damask (Field-Tested),MAC-10 | Sienna Damask,Field-Tested,0.39,0.48,0.83,219
MAC-10 | Sienna Damask (Minimal Wear),MAC-10 | Sienna Damask,Minimal Wear,0.46,0.48,1.84,66
MAC-10 | Sienna Damask (Well-Worn),MAC-10 | Sienna Damask,Well-Worn,0.44,0.53,2.72,2
MAC-10 | Silver (Factory New),MAC-10 | Silver,Factory New,0.32,0.42,1.96,619
MAC-10 | Silver (Minimal Wear),MAC-10 | Silver,Minimal Wear,0.32,0.37,3.13,13
MAC-10 | Stalker (Battle-Scarred),MAC-10 | Stalker,Battle-Scarred,10.72,13.46,14.62,11
MAC-10 | Stalker (Factory New),MAC-10 | Stalker,Factory New,60.91,78.65,78.22,14
MAC-10 | Stalker (Field-Tested),MAC-10 | Stalker,Field-Tested,14.68,16.29,20.02,40
MAC-10 | Stalker (Minimal Wear),MAC-10 | Stalker,Minimal Wear,26.2,28.14,35.51,22
MAC-10 | Stalker (Well-Worn),MAC-10 | Stalker,Well-Worn,10.99,12.93,15.31,18
MAC-10 | Storm Camo (Battle-Scarred),MAC-10 | Storm Camo,Battle-Scarred,0.06,0.03,0.18,12
MAC-10 | Storm Camo (Factory New),MAC-10 | Storm Camo,Factory New,0.09,0.09,0.41,153
MAC-10 | Storm Camo (Field-Tested),MAC-10 | Storm Camo,Field-Tested,0.02,0.03,0.29,31
MAC-10 | Storm Camo (Minimal Wear),MAC-10 | Storm Camo,Minimal Wear,0.07,0.07,0.43,23
MAC-10 | Storm Camo (Well-Worn),MAC-10 | Storm Camo,Well-Worn,0.17,0.03,0.17,4
MAC-10 | Strats (Battle-Scarred),MAC-10 | Strats,Battle-Scarred,0.71,0.59,0.76,4
MAC-10 | Strats (Factory New),MAC-10 | Strats,Factory New,0.75,0.77,4.21,38
MAC-10 | Strats (Field-Tested),MAC-10 | Strats,Field-Tested,0.48,0.53,0.73,98
MAC-10 | Strats (Minimal Wear),MAC-10 | Strats,Minimal Wear,0.72,0.54,0.99,10
MAC-10 | Strats (Well-Worn),MAC-10 | Strats,Well-Worn,,0.68,,0
MAC-10 | Surfwood (Battle-Scarred),MAC-10 | Surfwood,Battle-Scarred,,4.77,,0
MAC-10 | Surfwood (Factory New),MAC-10 | Surfwood,Factory New,5.5,5.69,14.42,47
MAC-10 | Surfwood (Field-Tested),MAC-10 | Surfwood,Field-Tested,5.02,5.01,16.06,45
MAC-10 | Surfwood (Minimal Wear),MAC-10 | Surfwood,Minimal Wear,4.29,5.37,15.05,39
MAC-10 | Surfwood (Well-Worn),MAC-10 | Surfwood,Well-Worn,6.26,4.81,8.87,2
MAC-10 | Tatter (Battle-Scarred),MAC-10 | Tatter,Battle-Scarred,,8.25,,0
MAC-10 | Tatter (Factory New),MAC-10 | Tatter,Factory New,12.61,13.38,27.64,8
MAC-10 | Tatter (Field-Tested),MAC-10 | Tatter,Field-Tested,8.71,9.69,10.75,11
MAC-10 | Tatter (Minimal Wear),MAC-10 | Tatter,Minimal Wear,9.31,10.39,19.04,8
MAC-10 | Tatter (Well-Worn),MAC-10 | Tatter,Well-Worn,,7.68,,0
MAC-10 | Tornado (Battle-Scarred),MAC-10 | Tornado,Battle-Scarred,3.8,2.56,9.82,2
MAC-10 | Tornado (Factory New),MAC-10 | Tornado,Factory New,,37.71,,0
MAC-10 | Tornado (Field-Tested),MAC-10 | Tornado,Field-Tested,2.07,2.38,2.27,3
MAC-10 | Tornado (Minimal Wear),MAC-10 | Tornado,Minimal Wear,,5.51,,0
MAC-10 | Tornado (Well-Worn),MAC-10 | Tornado,Well-Worn,2.25,2.88,2.25,1
MAC-10 | Toybox (Battle-Scarred),MAC-10 | Toybox,Battle-Scarred,8.99,5.99,13.27,3
MAC-10 | Toybox (Factory New),MAC-10 | Toybox,Factory New,35.94,34.23,58.35,4
MAC-10 | Toybox (Field-Tested),MAC-10 | Toybox,Field-Tested,8.74,10.03,11.93,28
MAC-10 | Toybox (Minimal Wear),MAC-10 | Toybox,Minimal Wear,18.55,17.81,85.75,2
MAC-10 | Toybox (Well-Worn),MAC-10 | Toybox,Well-Worn,7.45,6.67,7.45,1
MAC-10 | Ultraviolet (Battle-Scarred),MAC-10 | Ultraviolet,Battle-Scarred,2.34,1.85,3.18,10
MAC-10 | Ultraviolet (Factory New),MAC-10 | Ultraviolet,Factory New,40.56,38.23,173.7,4
MAC-10 | Ultraviolet (Field-Tested),MAC-10 | Ultraviolet,Field-Tested,1.9,2.01,4.29,38
MAC-10 | Ultraviolet (Minimal Wear),MAC-10 | Ultraviolet,Minimal Wear,4.79,5.38,14.44,13
MAC-10 | Ultraviolet (Well-Worn),MAC-10 | Ultraviolet,Well-Worn,3.1,1.94,3.4,3
MAC-10 | Urban DDPAT (Battle-Scarred),MAC-10 | Urban DDPAT,Battle-Scarred,2.25,2.39,2.25,1
MAC-10 | Urban DDPAT (Factory New),MAC-10 | Urban DDPAT,Factory New,90.66,24.46,90.66,1
MAC-10 | Urban DDPAT (Field-Tested),MAC-10 | Urban DDPAT,Field-Tested,2.75,2.4,4.43,11
MAC-10 | Urban DDPAT (Minimal Wear),MAC-10 | Urban DDPAT,Minimal Wear,,3.29,,0
MAC-10 | Urban DDPAT (Well-Worn),MAC-10 | Urban DDPAT,Well-Worn,,2.55,,0
MAC-10 | Whitefish (Battle-Scarred),MAC-10 | Whitefish,Battle-Scarred,0.13,0.19,0.33,96
MAC-10 | Whitefish (Factory New),MAC-10 | Whitefish,Factory New,0.87,0.95,8.74,29
MAC-10 | Whitefish (Field-Tested),MAC-10 | Whitefish,Field-Tested,0.15,0.21,0.43,180
MAC-10 | Whitefish (Minimal Wear),MAC-10 | Whitefish,Minimal Wear,0.18,0.32,0.98,104
MAC-10 | Whitefish (Well-Worn),MAC-10 | Whitefish,Well-Worn,0.14,0.2,0.29,167
MAG-7 | BI83 Spectrum (Battle-Scarred),MAG-7 | BI83 Spectrum,Battle-Scarred,1.17,1.49,4.89,4
MAG-7 | BI83 Spectrum (Factory New),MAG-7 | BI83 Spectrum,Factory New,4.31,4.57,9.31,17
MAG-7 | BI83 Spectrum (Field-Tested),MAG-7 | BI83 Spectrum,Field-Tested,1.35,1.46,2.18,18
MAG-7 | BI83 Spectrum (Minimal Wear),MAG-7 | BI83 Spectrum,Minimal Wear,2.18,2.41,7.9,5
MAG-7 | BI83 Spectrum (Well-Worn),MAG-7 | BI83 Spectrum,Well-Worn,1.19,1.6,1.91,4
MAG-7 | Bulldozer (Battle-Scarred),MAG-7 | Bulldozer,Battle-Scarred,23.18,9.85,30.99,3
MAG-7 | Bulldozer (Factory New),MAG-7 | Bulldozer,Factory New,169.99,141.02,169.99,1
MAG-7 | Bulldozer (Field-Tested),MAG-7 | Bulldozer,Field-Tested,11.89,10.55,16.3,9
MAG-7 | Bulldozer (Minimal Wear),MAG-7 | Bulldozer,Minimal Wear,33.68,31.6,55.77,9
MAG-7 | Bulldozer (Well-Worn),MAG-7 | Bulldozer,Well-Worn,23.18,9.55,47.11,3
MAG-7 | Carbon Fiber (Factory New),MAG-7 | Carbon Fiber,Factory New,4.33,5.15,6.54,1036
MAG-7 | Carbon Fiber (Minimal Wear),MAG-7 | Carbon Fiber,Minimal Wear,4.42,4.75,5.11,73
MAG-7 | Chainmail (Factory New),MAG-7 | Chainmail,Factory New,43.99,38.23,60.42,8
MAG-7 | Chainmail (Field-Tested),MAG-7 | Chainmail,Field-Tested,,35.1,,0
MAG-7 | Chainmail (Minimal Wear),MAG-7 | Chainmail,Minimal Wear,33.32,35.72,39.87,4
MAG-7 | Cinquedea (Battle-Scarred),MAG-7 | Cinquedea,Battle-Scarred,,472.88,,0
MAG-7 | Cinquedea (Factory New),MAG-7 | Cinquedea,Factory New,875.63,717.28,875.63,1
MAG-7 | Cinquedea (Field-Tested),MAG-7 | Cinquedea,Field-Tested,578.41,554.86,578.41,1
MAG-7 | Cinquedea (Minimal Wear),MAG-7 | Cinquedea,Minimal Wear,646.25,591.69,646.25,1
MAG-7 | Cinquedea (Well-Worn),MAG-7 | Cinquedea,Well-Worn,614.7,680.45,614.7,1
MAG-7 | Cobalt Core (Battle-Scarred),MAG-7 | Cobalt Core,Battle-Scarred,0.15,0.21,1.32,17
MAG-7 | Cobalt Core (Factory New),MAG-7 | Cobalt Core,Factory New,0.69,0.73,3.86,23
MAG-7 | Cobalt Core (Field-Tested),MAG-7 | Cobalt Core,Field-Tested,0.17,0.23,0.97,63
MAG-7 | Cobalt Core (Minimal Wear),MAG-7 | Cobalt Core,Minimal Wear,0.32,0.43,1.22,24
MAG-7 | Cobalt Core (Well-Worn),MAG-7 | Cobalt Core,Well-Worn,0.15,0.21,0.45,19
MAG-7 | Copper Coated (Battle-Scarred),MAG-7 | Copper Coated,Battle-Scarred,0.65,0.37,2.11,61
MAG-7 | Copper Coated (Factory New),MAG-7 | Copper Coated,Factory New,1.4,1.86,4.56,70
MAG-7 | Copper Coated (Field-Tested),MAG-7 | Copper Coated,Field-Tested,0.42,0.53,2.18,83
MAG-7 | Copper Coated (Minimal Wear),MAG-7 | Copper Coated,Minimal Wear,0.78,0.88,3.04,58
MAG-7 | Copper Coated (Well-Worn),MAG-7 | Copper Coated,Well-Worn,0.36,0.37,1.81,53
MAG-7 | Copper Oxide (Battle-Scarred),MAG-7 | Copper Oxide,Battle-Scarred,0.13,0.03,0.25,6
MAG-7 | Copper Oxide (Factory New),MAG-7 | Copper Oxide,Factory New,0.15,0.08,0.73,37
MAG-7 | Copper Oxide (Field-Tested),MAG-7 | Copper Oxide,Field-Tested,0.03,0.04,0.3,44
MAG-7 | Copper Oxide (Minimal Wear),MAG-7 | Copper Oxide,Minimal Wear,0.09,0.07,0.43,4
MAG-7 | Copper Oxide (Well-Worn),MAG-7 | Copper Oxide,Well-Worn,,0.03,,0
MAG-7 | Core Breach (Battle-Scarred),MAG-7 | Core Breach,Battle-Scarred,0.37,0.51,3.4,17
MAG-7 | Core Breach (Factory New),MAG-7 | Core Breach,Factory New,4.66,5.6,21.17,16
MAG-7 | Core Breach (Field-Tested),MAG-7 | Core Breach,Field-Tested,0.91,0.89,2.69,8
MAG-7 | Core Breach (Minimal Wear),MAG-7 | Core Breach,Minimal Wear,4.44,1.6,4.44,5
MAG-7 | Core Breach (Well-Worn),MAG-7 | Core Breach,Well-Worn,1.8,0.53,1.8,5
MAG-7 | Counter Terrace (Battle-Scarred),MAG-7 | Counter Terrace,Battle-Scarred,,159.01,,0
MAG-7 | Counter Terrace (Factory New),MAG-7 | Counter Terrace,Factory New,946.47,162.48,946.47,1
MAG-7 | Counter Terrace (Field-Tested),MAG-7 | Counter Terrace,Field-Tested,,156.31,,0
MAG-7 | Counter Terrace (Minimal Wear),MAG-7 | Counter Terrace,Minimal Wear,,177.08,,0
MAG-7 | Counter Terrace (Well-Worn),MAG-7 | Counter Terrace,Well-Worn,,121.04,,0
MAG-7 | Firestarter (Battle-Scarred),MAG-7 | Firestarter,Battle-Scarred,0.77,0.58,1.64,4
MAG-7 | Firestarter (Factory New),MAG-7 | Firestarter,Factory New,17.5,4.61,36.92,7
MAG-7 | Firestarter (Field-Tested),MAG-7 | Firestarter,Field-Tested,0.36,0.49,0.81,41
MAG-7 | Firestarter (Minimal Wear),MAG-7 | Firestarter,Minimal Wear,0.47,0.59,3.03,23
MAG-7 | Firestarter (Well-Worn),MAG-7 | Firestarter,Well-Worn,0.96,0.52,0.97,4
MAG-7 | Foresight (Battle-Scarred),MAG-7 | Foresight,Battle-Scarred,0.03,0.04,0.12,305
MAG-7 | Foresight (Factory New),MAG-7 | Foresight,Factory New,0.19,0.26,1.87,163
MAG-7 | Foresight (Field-Tested),MAG-7 | Foresight,Field-Tested,0.03,0.05,0.15,1811
MAG-7 | Foresight (Minimal Wear),MAG-7 | Foresight,Minimal Wear,0.06,0.09,0.43,362
MAG-7 | Foresight (Well-Worn),MAG-7 | Foresight,Well-Worn,0.03,0.04,0.17,170
MAG-7 | Hard Water (Factory New),MAG-7 | Hard Water,Factory New,3.4,3.63,9.08,17
MAG-7 | Hard Water (Field-Tested),MAG-7 | Hard Water,Field-Tested,2.06,2.16,2.98,16
MAG-7 | Hard Water (Minimal Wear),MAG-7 | Hard Water,Minimal Wear,2.63,2.91,3.39,11
MAG-7 | Hard Water (Well-Worn),MAG-7 | Hard Water,Well-Worn,,2.2,,0
MAG-7 | Hazard (Battle-Scarred),MAG-7 | Hazard,Battle-Scarred,,12.23,,0
MAG-7 | Hazard (Factory New),MAG-7 | Hazard,Factory New,129.74,110.26,164.37,2
MAG-7 | Hazard (Field-Tested),MAG-7 | Hazard,Field-Tested,15.11,12.45,24.96,4
MAG-7 | Hazard (Minimal Wear),MAG-7 | Hazard,Minimal Wear,17.79,20.21,30.01,12
MAG-7 | Hazard (Well-Worn),MAG-7 | Hazard,Well-Worn,,18.54,,0
MAG-7 | Heat (Battle-Scarred),MAG-7 | Heat,Battle-Scarred,0.31,0.43,1.43,43
MAG-7 | Heat (Factory New),MAG-7 | Heat,Factory New,4.54,3.8,12.81,40
MAG-7 | Heat (Field-Tested),MAG-7 | Heat,Field-Tested,0.42,0.54,3.49,117
MAG-7 | Heat (Minimal Wear),MAG-7 | Heat,Minimal Wear,1.07,1.15,3.31,62
MAG-7 | Heat (Well-Worn),MAG-7 | Heat,Well-Worn,0.31,0.43,1.11,31
MAG-7 | Heaven Guard (Factory New),MAG-7 | Heaven Guard,Factory New,0.99,1.14,4.05,37
MAG-7 | Heaven Guard (Field-Tested),MAG-7 | Heaven Guard,Field-Tested,0.53,0.72,1.36,37
MAG-7 | Heaven Guard (Minimal Wear),MAG-7 | Heaven Guard,Minimal Wear,0.77,0.92,2.46,30
MAG-7 | Heaven Guard (Well-Worn),MAG-7 | Heaven Guard,Well-Worn,0.59,0.59,3.45,4
MAG-7 | Insomnia (Battle-Scarred),MAG-7 | Insomnia,Battle-Scarred,0.03,0.05,0.23,458
MAG-7 | Insomnia (Factory New),MAG-7 | Insomnia,Factory New,0.24,0.27,3.95,84
MAG-7 | Insomnia (Field-Tested),MAG-7 | Insomnia,Field-Tested,0.03,0.05,0.25,1069
MAG-7 | Insomnia (Minimal Wear),MAG-7 | Insomnia,Minimal Wear,0.06,0.09,0.39,409
MAG-7 | Insomnia (Well-Worn),MAG-7 | Insomnia,Well-Worn,0.03,0.05,0.13,725
MAG-7 | Irradiated Alert (Battle-Scarred),MAG-7 | Irradiated Alert,Battle-Scarred,,3.07,,0
MAG-7 | Irradiated Alert (Factory New),MAG-7 | Irradiated Alert,Factory New,,18.75,,0
MAG-7 | Irradiated Alert (Field-Tested),MAG-7 | Irradiated Alert,Field-Tested,1.58,1.91,10.34,9
MAG-7 | Irradiated Alert (Minimal Wear),MAG-7 | Irradiated Alert,Minimal Wear,3.36,3.63,6.87,4
MAG-7 | Irradiated Alert (Well-Worn),MAG-7 | Irradiated Alert,Well-Worn,,2.46,,0
MAG-7 | Justice (Battle-Scarred),MAG-7 | Justice,Battle-Scarred,1.32,1.77,4.02,38
MAG-7 | Justice (Factory New),MAG-7 | Justice,Factory New,13.81,16.86,38.89,17
MAG-7 | Justice (Field-Tested),MAG-7 | Justice,Field-Tested,2.02,2.34,4.35,59
MAG-7 | Justice (Minimal Wear),MAG-7 | Justice,Minimal Wear,4.45,5.42,9.15,21
MAG-7 | Justice (Well-Worn),MAG-7 | Justice,Well-Worn,1.48,1.81,3.43,32
MAG-7 | Memento (Factory New),MAG-7 | Memento,Factory New,4.55,4.47,14.14,24
MAG-7 | Memento (Field-Tested),MAG-7 | Memento,Field-Tested,5.0,4.45,5.04,2
MAG-7 | Memento (Minimal Wear),MAG-7 | Memento,Minimal Wear,4.27,3.81,5.48,12
MAG-7 | Metallic DDPAT (Factory New),MAG-7 | Metallic DDPAT,Factory New,0.5,0.55,0.87,2190
MAG-7 | Metallic DDPAT (Minimal Wear),MAG-7 | Metallic DDPAT,Minimal Wear,0.99,0.43,1.59,12
MAG-7 | Monster Call (Battle-Scarred),MAG-7 | Monster Call,Battle-Scarred,0.18,0.26,0.62,90
MAG-7 | Monster Call (Factory New),MAG-7 | Monster Call,Factory New,1.39,1.81,7.38,37
MAG-7 | Monster Call (Field-Tested),MAG-7 | Monster Call,Field-Tested,0.25,0.34,0.57,445
MAG-7 | Monster Call (Minimal Wear),MAG-7 | Monster Call,Minimal Wear,0.55,0.73,1.78,90
MAG-7 | Monster Call (Well-Worn),MAG-7 | Monster Call,Well-Worn,0.19,0.27,0.43,167
MAG-7 | Navy Sheen (Battle-Scarred),MAG-7 | Navy Sheen,Battle-Scarred,1.31,0.46,1.31,1
MAG-7 | Navy Sheen (Factory New),MAG-7 | Navy Sheen,Factory New,0.7,0.55,4.21,102
MAG-7 | Navy Sheen (Field-Tested),MAG-7 | Navy Sheen,Field-Tested,0.42,0.51,0.67,201
MAG-7 | Navy Sheen (Minimal Wear),MAG-7 | Navy Sheen,Minimal Wear,0.54,0.53,2.89,223
MAG-7 | Navy Sheen (Well-Worn),MAG-7 | Navy Sheen,Well-Worn,0.39,0.53,1.49,3
MAG-7 | Petroglyph (Factory New),MAG-7 | Petroglyph,Factory New,1.6,2.01,4.2,19
MAG-7 | Petroglyph (Field-Tested),MAG-7 | Petroglyph,Field-Tested,0.31,0.4,0.84,31
MAG-7 | Petroglyph (Minimal Wear),MAG-7 | Petroglyph,Minimal Wear,0.55,0.7,3.13,24
MAG-7 | Petroglyph (Well-Worn),MAG-7 | Petroglyph,Well-Worn,0.54,0.42,1.29,16
MAG-7 | Popdog (Battle-Scarred),MAG-7 | Popdog,Battle-Scarred,0.13,0.19,0.42,27
MAG-7 | Popdog (Factory New),MAG-7 | Popdog,Factory New,0.23,0.32,1.47,28
MAG-7 | Popdog (Field-Tested),MAG-7 | Popdog,Field-Tested,0.21,0.29,0.44,91
MAG-7 | Popdog (Minimal Wear),MAG-7 | Popdog,Minimal Wear,0.23,0.24,0.37,19
MAG-7 | Popdog (Well-Worn),MAG-7 | Popdog,Well-Worn,0.14,0.2,0.53,15
MAG-7 | Praetorian (Factory New),MAG-7 | Praetorian,Factory New,5.53,5.65,14.02,14
MAG-7 | Praetorian (Field-Tested),MAG-7 | Praetorian,Field-Tested,2.26,2.78,3.59,10
MAG-7 | Praetorian (Minimal Wear),MAG-7 | Praetorian,Minimal Wear,2.95,3.84,5.62,27
MAG-7 | Praetorian (Well-Worn),MAG-7 | Praetorian,Well-Worn,3.33,2.78,14.67,4
MAG-7 | Prism Terrace (Factory New),MAG-7 | Prism Terrace,Factory New,44.75,45.4,81.22,10
MAG-7 | Prism Terrace (Field-Tested),MAG-7 | Prism Terrace,Field-Tested,100.0,32.44,100.0,1
MAG-7 | Prism Terrace (Minimal Wear),MAG-7 | Prism Terrace,Minimal Wear,37.82,36.69,62.6,3
MAG-7 | Resupply (Battle-Scarred),MAG-7 | Resupply,Battle-Scarred,0.03,0.04,0.04,237
MAG-7 | Resupply (Factory New),MAG-7 | Resupply,Factory New,0.32,0.44,1.8,38
MAG-7 | Resupply (Field-Tested),MAG-7 | Resupply,Field-Tested,0.04,0.06,0.09,182
MAG-7 | Resupply (Minimal Wear),MAG-7 | Resupply,Minimal Wear,0.12,0.16,0.19,93
MAG-7 | Resupply (Well-Worn),MAG-7 | Resupply,Well-Worn,0.02,0.04,0.07,181
MAG-7 | Rust Coat (Battle-Scarred),MAG-7 | Rust Coat,Battle-Scarred,0.02,0.03,0.16,1253
MAG-7 | Rust Coat (Factory New),MAG-7 | Rust Coat,Factory New,0.29,0.07,0.97,156
MAG-7 | Rust Coat (Field-Tested),MAG-7 | Rust Coat,Field-Tested,0.02,0.03,0.04,3169
MAG-7 | Rust Coat (Minimal Wear),MAG-7 | Rust Coat,Minimal Wear,0.02,0.03,0.07,543
MAG-7 | Rust Coat (Well-Worn),MAG-7 | Rust Coat,Well-Worn,0.02,0.03,0.04,2401
MAG-7 | SWAG-7 (Battle-Scarred),MAG-7 | SWAG-7,Battle-Scarred,0.21,0.28,0.46,28
MAG-7 | SWAG-7 (Factory New),MAG-7 | SWAG-7,Factory New,1.85,2.18,9.67,17
MAG-7 | SWAG-7 (Field-Tested),MAG-7 | SWAG-7,Field-Tested,0.22,0.31,0.76,91
MAG-7 | SWAG-7 (Minimal Wear),MAG-7 | SWAG-7,Minimal Wear,0.7,0.73,2.83,44
MAG-7 | SWAG-7 (Well-Worn),MAG-7 | SWAG-7,Well-Worn,0.22,0.29,0.7,41
MAG-7 | Sand Dune (Battle-Scarred),MAG-7 | Sand Dune,Battle-Scarred,2.35,1.5,2.35,1
MAG-7 | Sand Dune (Factory New),MAG-7 | Sand Dune,Factory New,16.62,15.68,16.62,1
MAG-7 | Sand Dune (Field-Tested),MAG-7 | Sand Dune,Field-Tested,1.28,1.39,1.61,6
MAG-7 | Sand Dune (Minimal Wear),MAG-7 | Sand Dune,Minimal Wear,3.15,3.11,5.65,8
MAG-7 | Sand Dune (Well-Worn),MAG-7 | Sand Dune,Well-Worn,1.65,1.74,1.65,1
MAG-7 | Seabird (Battle-Scarred),MAG-7 | Seabird,Battle-Scarred,2.42,2.66,7.07,14
MAG-7 | Seabird (Factory New),MAG-7 | Seabird,Factory New,4.33,5.33,69.67,8
MAG-7 | Seabird (Field-Tested),MAG-7 | Seabird,Field-Tested,2.84,2.82,3.42,24
MAG-7 | Seabird (Minimal Wear),MAG-7 | Seabird,Minimal Wear,2.66,3.01,10.04,27
MAG-7 | Seabird (Well-Worn),MAG-7 | Seabird,Well-Worn,2.6,2.74,3.49,43
MAG-7 | Silver (Factory New),MAG-7 | Silver,Factory New,19.55,20.09,34.34,29
MAG-7 | Silver (Minimal Wear),MAG-7 | Silver,Minimal Wear,19.88,20.62,19.88,1
MAG-7 | Sonar (Factory New),MAG-7 | Sonar,Factory New,0.26,0.37,2.92,57
MAG-7 | Sonar (Field-Tested),MAG-7 | Sonar,Field-Tested,0.18,0.25,1.05,42
MAG-7 | Sonar (Minimal Wear),MAG-7 | Sonar,Minimal Wear,0.18,0.25,1.1,54
MAG-7 | Sonar (Well-Worn),MAG-7 | Sonar,Well-Worn,0.15,0.2,0.62,9
MAG-7 | Storm (Battle-Scarred),MAG-7 | Storm,Battle-Scarred,0.29,0.34,0.7,5
MAG-7 | Storm (Factory New),MAG-7 | Storm,Factory New,8.81,9.05,9.83,2
MAG-7 | Storm (Field-Tested),MAG-7 | Storm,Field-Tested,0.3,0.38,1.45,22
MAG-7 | Storm (Minimal Wear),MAG-7 | Storm,Minimal Wear,1.07,0.89,2.14,9
MAG-7 | Storm (Well-Worn),MAG-7 | Storm,Well-Worn,0.26,0.33,3.34,5
MAG-7 | Wildwood (Battle-Scarred),MAG-7 | Wildwood,Battle-Scarred,0.16,0.12,0.41,37
MAG-7 | Wildwood (Factory New),MAG-7 | Wildwood,Factory New,0.4,0.4,2.74,126
MAG-7 | Wildwood (Field-Tested),MAG-7 | Wildwood,Field-Tested,0.22,0.15,0.9,217
MAG-7 | Wildwood (Minimal Wear),MAG-7 | Wildwood,Minimal Wear,0.16,0.2,0.83,226
MAG-7 | Wildwood (Well-Worn),MAG-7 | Wildwood,Well-Worn,0.22,0.11,0.4,10
MP5-SD | Acid Wash (Battle-Scarred),MP5-SD | Acid Wash,Battle-Scarred,0.86,0.81,1.44,16
MP5-SD | Acid Wash (Factory New),MP5-SD | Acid Wash,Factory New,1.48,1.55,6.36,43
MP5-SD | Acid Wash (Field-Tested),MP5-SD | Acid Wash,Field-Tested,0.77,1.04,1.4,65
MP5-SD | Acid Wash (Minimal Wear),MP5-SD | Acid Wash,Minimal Wear,0.96,1.13,2.48,24
MP5-SD | Acid Wash (Well-Worn),MP5-SD | Acid Wash,Well-Worn,1.1,0.91,1.83,6
MP5-SD | Agent (Battle-Scarred),MP5-SD | Agent,Battle-Scarred,0.64,0.57,2.63,21
MP5-SD | Agent (Factory New),MP5-SD | Agent,Factory New,2.65,3.12,14.92,21
MP5-SD | Agent (Field-Tested),MP5-SD | Agent,Field-Tested,0.53,0.7,1.4,23
